link,start,end,video,utterance,arousal,valence,EmotionMaxVote
https://www.youtube.com/watch?v=f7W-4HEGtHk,2.33565262252795,13.0129217540843,664ea0ccc_1,utterance_1.mp4,0.616776656925,0.384044573204,3
https://www.youtube.com/watch?v=f7W-4HEGtHk,12.2621762682717,22.8143211521926,664ea0ccc_1,utterance_2.mp4,0.717421680034,0.303026058644,1
https://www.youtube.com/watch?v=f7W-4HEGtHk,22.4806564918315,32.9910932932072,664ea0ccc_1,utterance_3.mp4,0.75284483158,0.200074458441,4
https://www.youtube.com/watch?v=f7W-4HEGtHk,32.6991367153912,43.209573516767,664ea0ccc_1,utterance_4.mp4,0.793264175838,0.313763127909,3
https://www.youtube.com/watch?v=f7W-4HEGtHk,52.5521840068788,62.6455399828031,664ea0ccc_1,utterance_6.mp4,0.80622185527,0.278251734742,5
https://www.youtube.com/watch?v=f7W-4HEGtHk,355.311155202,365.821592003,664ea0ccc_1,utterance_63.mp4,0.0637260820901,-0.102404284967,3
https://www.youtube.com/watch?v=f7W-4HEGtHk,365.529635426,375.748115649,664ea0ccc_1,utterance_64.mp4,0.346589100076,0.367482363781,3
https://www.youtube.com/watch?v=f7W-4HEGtHk,375.164202494,385.632931212,664ea0ccc_1,utterance_65.mp4,0.539427897573,0.436311347329,3
https://www.youtube.com/watch?v=f7W-4HEGtHk,385.090726139,395.976535684,664ea0ccc_1,utterance_66.mp4,0.536378309143,0.261692789658,4
https://www.youtube.com/watch?v=f7W-4HEGtHk,395.309206363,405.819643164,664ea0ccc_1,utterance_67.mp4,0.147069352711,0.367680351953,4
https://www.youtube.com/watch?v=f7W-4HEGtHk,405.527686586,415.871291058,664ea0ccc_1,utterance_68.mp4,0.476268519858,0.702946335556,4
https://www.youtube.com/watch?v=f7W-4HEGtHk,415.454210232,426.006355116,664ea0ccc_1,utterance_69.mp4,0.621053695902,0.73342294475,4
https://www.youtube.com/watch?v=f7W-4HEGtHk,425.380733878,435.348965606,664ea0ccc_1,utterance_70.mp4,0.465169607408,0.649759570218,3
https://www.youtube.com/watch?v=f7W-4HEGtHk,434.723344368,444.983532674,664ea0ccc_1,utterance_71.mp4,0.616304272601,0.643999540549,3
https://www.youtube.com/watch?v=f7W-4HEGtHk,444.649868014,455.118596733,664ea0ccc_1,utterance_72.mp4,0.404881105963,0.454914352876,3
https://www.youtube.com/watch?v=f7W-4HEGtHk,454.57639166,464.961704213,664ea0ccc_1,utterance_73.mp4,0.171940359506,0.258508895499,4
https://www.youtube.com/watch?v=f7W-4HEGtHk,464.502915305,475.055060189,664ea0ccc_1,utterance_74.mp4,0.22565763431,0.157295077415,3
https://www.youtube.com/watch?v=f7W-4HEGtHk,474.429438951,485.106708083,664ea0ccc_1,utterance_75.mp4,0.504965294636,-0.0807765464126,3
https://www.youtube.com/watch?v=f7W-4HEGtHk,484.647919175,486.858447549,664ea0ccc_1,utterance_76.mp4,0.514402792357,-0.0961076991698,4
https://www.youtube.com/watch?v=f7W-4HEGtHk,592.671852966,602.473252365,664ea0ccc_1,utterance_90.mp4,0.70329495753,0.380482428572,4
https://www.youtube.com/watch?v=f7W-4HEGtHk,606.393812124,610.939993121,664ea0ccc_1,utterance_92.mp4,0.482149972177,0.339775192189,4
https://www.youtube.com/watch?v=f7W-4HEGtHk,611.940987102,614.943969046,664ea0ccc_1,utterance_93.mp4,0.634880947749,0.467927862453,3
